Distributor Name,Display Category,Product Erp Id,ProductId,SKU Name,CompanyId,Pcs/Box,IsActive,Current Stock In Case,Current Stock In Pcs,CurrentStock_SuperUnit_,Total Current Stock in Pcs,PendingOrderQtyInCase,PendingOrderPcs,Pending Order Super Unit,Total Pending Order _Unit_,InTransitInboundQtyInCase,InTransitInboundQtyInPcs,In Transit Inbound Qty in Super Unit,InTransitInboundTotalPcs,Damaged Qty In Case,Damaged Qty In Pcs,Damaged Qty in Super Unit,Damaged Total Pcs,Expired Qty In Case,Expired Qty In Pcs,Expired Qty in Super Unit,ExpiredTotalPcs,Mfg Date,Exp Date,Days to Expire,Shelf Life %,Price/Pcs,MRP,Total Value,Total Volume,Alternate Category,Product Attribute Text 1,Product Attribute Text 2,Distributor Erp Id
SAWARIYA TRADING 41496,Nimbu Masala MRP 20,FD061800650650000D,895,Nimbu Masala MRP 20|65 GM*6.5 KG,111290,100,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1.950585176,30,19/11/24,19/03/25,-133,-1.108333333,13.632,20,0,0,Sev Namkeen,Nimbu Masala,Nimbu Masala,460307
SAWARIYA TRADING 41496,Roll Cream Cone MRP 15,FA079200300288000D,717,Cream Cone 30 GM*2.88 KG,111290,96,Yes,5,0,14.40144014,480,0,0,0,0,0,0,0,0,0,0,0,0,1,90,5.580558056,186,13/05/25,13/05/26,287,0.78630137,9.504733333,15,4562.016,136.8818482,Roll,Roll,Roll,460307
SAWARIYA TRADING 41496,All In One MRP 10,FD012600360907200D,959,All In One MRP 10|36GM*9.072KG,111290,252,Yes,6,0,54.42764579,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/07/25,09/11/25,102,0.85,7.009078261,10,10597.9104,381.4876289,Mix/Chivra/Chanachur,All In One,All In One,460307
SAWARIYA TRADING 41496,Panga Teekha Achari MRP 10,FI350600380456003D,1634,Panga Teekha Achari MRP 10|38 GM*4.56 KG,111290,120,Yes,0,84,3.191489362,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/05/25,07/09/25,39,0.325,7.2561,10,609.5124,23.15776596,Bridges,Panga,Panga Teekha Achari,460307
SAWARIYA TRADING 41496,Whoopies Cheezi Ball MRP 10,FI091200420504001D,1933,Whoopies Cheezi Ball 42 GM*5.04 KG,111290,120,Yes,1,90,8.819823604,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/05/25,26/10/25,88,0.567741935,7.256047826,10,1523.781,63.99706188,Extruded,Whoopies,Whoopies Cheezi Ball,460307
SAWARIYA TRADING 41496,Popcorn salted MRP 10,FI564600180216000D,1829,Popcorn Salted MRP 10|18GM*2.16KG,111290,120,Yes,0,20,0.359971202,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/06/25,17/06/26,322,0.882191781,6.2974,10,125.17,2.266882649,Extruded,Popcorn,Pop Corn-Salted,460307
SAWARIYA TRADING 41496,Popcorn Butter MRP 10,FI008400180216000D,1815,Popcorn Butter MRP 10|18GM*2.16KG,111290,120,Yes,0,20,0.359971202,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31/05/25,31/05/26,305,0.835616438,6.30512,10,125.17,2.269661627,Extruded,Popcorn,Pop Corn Butter,460307
SAWARIYA TRADING 41496,Mexilla Sweet Thai Chilli MRP 10,FI058500400480001D,2025,Mexilla Sweet Thai Chilli 40 GM * 4.8 KG,111290,120,Yes,16,30,78,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/07/25,03/11/25,96,0.8,6.675726316,10,13017.42,520.7066526,Mexilla,Mexilla,Mexilla Sweet Thai Chilli,460307
SAWARIYA TRADING 41496,Peeloz Choco Block-30-Gm,FI067200250500001D,2337,Peeloz Choco Block 25 GM * 5 KG,111290,200,Yes,0,190,4.75,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23/06/25,23/06/26,328,0.898630137,6.3361,10,1203.859,30.096475,Confectionery,Peeloz,Peeloz Choco Block,460307
SAWARIYA TRADING 41496,Dal Biji MRP 10,FD572400381094400D,781,Shahi Dal Biji MRP 10|38GM*10.944KG,111290,288,Yes,5,227,63.33586626,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20/07/25,17/11/25,110,0.916666667,7.009107692,10,11684.3364,443.9279074,Mixture-Premium,Shahi Dal Biji,Shahi Dal Biji,460307
SAWARIYA TRADING 41496,Panchrattan MRP 10,FD063100200720000D,774,Panchrattan MRP 10|20 GM*7.2 KG,111290,360,Yes,5,168,39.36,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/07/25,06/11/25,99,0.825,7.009111628,10,13794.1056,275.8786337,Mixture-Premium,Panchrattan,Panchrattan,460307
SAWARIYA TRADING 41496,Takatak Masala MRP 10,FI088300450810000D,1681,Takatak Masala MRP 10|45 GM*8.1 KG,111290,180,Yes,79,120,645.3645365,14340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/07/25,19/11/25,112,0.933333333,7.17187875,10,98016.768,4628.476205,Bridges,Takatak,Takatak Masala,460307
SAWARIYA TRADING 41496,Gathiya MRP 10,FD016600450810000D,534,Bhavnagri Gathiya MRP 10|45 GM*8.1 KG,111290,180,Yes,14,96,117.7317732,2616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/07/25,18/11/25,111,0.888,7.009105357,10,18336.0672,825.1944021,Besan Namkeen,Bhavnagri Gathiya,Bhavnagri Gathiya,460307
SAWARIYA TRADING 41496,Punjabi Tadka MRP 10,FD075200400960000D,845,Punjabi Tadka MRP 10|40GM*9.6KG,111290,240,Yes,40,192,391.68,9792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/07/25,19/11/25,112,0.933333333,7.00912,10,68634.0864,2745.332122,Punjabi Tadka,Punjabi Tadka,Punjabi Tadka,460307
SAWARIYA TRADING 41496,Snaclite Fries MRP 10,FI227500280420000D,1903,Snac Lite Fries-10-Mrp|28 GM*4.2 KG,111290,150,Yes,9,90,40.32483898,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/07/25,09/11/25,102,0.85,7.256056818,10,10448.784,292.5993228,Extruded,Snac Lite,Snac Lite Fries,460307
SAWARIYA TRADING 41496,Snaclite Finger MRP 10,FI369100450270000D,514,Snaclite Finger MRP 10|45 GM*2.7 KG,111290,60,Yes,12,50,34.65346535,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18/07/25,14/11/25,107,0.899159664,6.842675,10,5268.725,237.122401,Extruded,Snac Lite,Snac Lite Finger,460307
SAWARIYA TRADING 41496,Snaclite Soya Katori MRP 10,FI220800450432000D,490,Snaclite Soya Katori 45 GM*4.32 KG,111290,96,Yes,16,84,72.90729073,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21/07/25,17/11/25,110,0.924369748,6.842744444,10,11084.85,498.8859586,Extruded,Snac Lite,Snac Lite Soya Katori,460307
SAWARIYA TRADING 41496,Snaclite Fun Wheel MRP 10,FI369200450360000D,1914,Snaclite Fun Wheel MRP 10|45 GM*3.6 KG,111290,80,Yes,3,30,12.15121512,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/07/25,13/11/25,106,0.848,6.842764706,10,1847.475,83.14790597,Extruded,Snac Lite,Snac Lite Fun Wheel,460307
SAWARIYA TRADING 41496,Whoopies Cheezi Puff XXXL MRP 10,FI587500340306000D,3003,Cheese Puff XXXL 34 Gm*3.060 Kg,111290,90,Yes,3,20,9.860591635,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21/05/25,18/09/25,50,0.416666667,7.2561,10,2104.269,71.54943897,Extruded,Whoopies,Whoopies Cheezi Puff,460307
