temp_Standard Unit,Super Unit,temp_Secondary Category,Display Category,temp_Display Category ErpId,temp_Primary Category ErpId,temp_Secondary Category ErpId,temp_Product Division ErpId,Product,Variant,PTR,PTR Delta,PTD,Display MRP,MRP,Unit,Alternate Category,Description,Standard Unit Conversion Factor,Super Unit Conversion Factor,Product Erp Id,Schemes,Display Order,Is Promoted,Is Markdown Margin logic,Packaging Type,Minimum Batch Quantity,Pack Size,Color Name,RGB Values,ImageId,Product Weight in gm,Channel,Expiry (Days),GST Category,CESS Category,Short Name,HSN Code,Shelf Life In Days,Net Weight,Gross Weight,PTRMT,PTD Super,PTD Sub,Product_AttributeText1,Product_AttributeText2,Product_AttributeBoolean1,Product_AttributeBoolean2,Product_AttributeNumber1,Product_AttributeNumber2,Product_AttributeDate1,Product_AttributeDate2,GUID,HASHKEY,IsSaleable,AdditionalUnit,AdditionalUnitConversionFactor,Barcode,Product_Property_1,Product_Property_2,Product_Property_3
CAR,KG,LARGE PACK,Milk Rusk-250 Gm,EAK8C351137E54676,Bakery_Emerging,LARGE PACK_Bakery_Emerging,E,Rusk Milk 250GM*7KG,,35.714,,33.53,45,45,PAC,Rusk/Toast,Rusk (Milk) 250 Gm*7.00,28,4,FA113702500700000D,,2534,FALSE,FALSE,,1,E5,,,,0,,,5,,F31870250,19054000,,,250,0,0,0,Rusk/Toast,Milk Rusk,,,,,,,c0d164d7-14f4-423b-b503-2afc9ebef322,4F3A9A7AC96A0F98C59DB2AFCD7FF904,TRUE,,,,NOIDA,Domestic,4676
CAR,KG,LARGE PACK,Roll Pole Choco Drool 400 Gm,AIM9C310240E51352,Western Snacks_In-Home,LARGE PACK_Western Snacks_In-Home,A,ROLL POLL CHOCO DROOL JAR 400 Gm*4.8,,118.65,,110.88,200,200,PAC,Confectionery,ROLL POLL CHOCO DROOL JAR 40PCS 400 Gm*12,12,2.5,FI024004000480000D,,2522,FALSE,FALSE,,1,E5,,,,0,,,18,,F67130400,18069010,,,400,,,110.88,Roll Pole,Chocolate Roll Poll Choco Drool,,,,,,,9e25e917-e12c-4654-85d8-85494e6413c0,AD6ED742D7944AE87DDEA267C0F7411E,TRUE,,,,NOIDA,Domestic,1352
CAR,KG,MRP 10,Cornchy MRP 10,BEI9A530254A10542,"Nuts, Seeds, Berries_Out of Home","MRP 10_Nuts, Seeds, Berries_Out of Home",B,Cornchy MRP 10|20 GM*6 KG,,7.4999,,7,10,10,PAC,Peanuts,CORNCHY 20 GM*6.00,300,50,FE025400200600000D,,819,FALSE,FALSE,,1,A1,,,,0,,,12,,F12490010R,21069099,,,20,,,7,Cornchy,Cornchy,,,,,,,de5f1792-b1cd-48a8-9eb6-d3be6cbd75a4,710EDBC083248191D6CEA8A218AAB99C,TRUE,LADDI,12,,NOIDA,Domestic,542
CAR,KG,GIFT PACK,Kabhi Khatta Kabhi Meetha 820 Gm,DJF2L095379B83380,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,D,GP-Kabhi Khatta Kabhi Meetha 820GM*8.2KG,,263.975,,249.03,340,340,PAC,Gift Pack,GP-KABHI KHT KABHI MTH 820 GM*8.20,10,1.22,FJ537908200820000D,,1099,FALSE,FALSE,,1,B8,,,,0,,,12,,F22660820,21069099,,,820,,243.67,249.03,Gift Pack Combo,Kabhi Khatta Kabhi Meetha,,,,,,,c137b038-84d2-4646-b684-cc59dba82bd2,08494F82923E6966D8480D7A3F9449BD,TRUE,,,,NOIDA,Domestic,3380
CAR,KG,1 KG,Aloo Bhujia Plain 1 Kg,ADA1A060921B10127,Namkeen_In-Home,1 KG_Namkeen_In-Home,A,Aloo Bhujia 1000+100=1100 KG*13.2 KG,,196.2747,,184.72,255,255,PAC,Aloo Bhujia,ALOO BHUJIA (1000+100)=1100 Gm*13.20,12,0.909,FD092111001320000D,,8,FALSE,FALSE,,1,B1,,,,0,,,12,,F0076100003,21069099,,,1100,,,184.72,Aloo Bhujia,Aloo Bhujia,,,,,,,52c735bf-6e4a-4541-a90a-19555666b9af,4018B82841161714CE24758BD4618CB8,TRUE,,,,NOIDA,Domestic,127
CAR,KG,200 GM,Chana Cracker Masala 200 Gm,AEB4A340197B40283,"Nuts, Seeds, Berries_In-Home","200 GM_Nuts, Seeds, Berries_In-Home",A,Chana Cracker Masala 200 GM*12 KG,,48.84,,45.97,60,60,PAC,Chana,Chana Cracker 200*12,60,5,FE019702001200000D,,350,FALSE,FALSE,,1,B4,,,,0,,,5,,F0715020052,21069099,,,200,0,45.97,45.97,Chana Cracker,Chana Cracker Masala,,,,,,,122e0bf2-87cb-44e1-a2f9-7232848bc7f9,BB73E54E779EA4755E9DD4C04115EE11,TRUE,,,,NOIDA,Domestic,283
CAR,KG,200 GM,Chana Cracker H.J. 200 Gm,AEB4A340196B40279,"Nuts, Seeds, Berries_In-Home","200 GM_Nuts, Seeds, Berries_In-Home",A,Chana Cracker H.J. 200 GM*12 KG,,48.84,,45.97,60,60,PAC,Chana,Chana Cracker Heenj Jeera 200 *12,60,5,FE019602001200000D,,340,FALSE,FALSE,,1,B4,,,,0,,,5,,F07180200,21069099,,,200,0,0,0,Chana Cracker,Chana Cracker Heeng Jeera,,,,,,,5e31f7a0-400b-4c02-87a7-8dde1af3a5d0,F981C1008A6EC91A07EE92ED78D08D33,TRUE,,,,NOIDA,Domestic,279
CAR,KG,400 GM,Kaju Burfee 400 Gm,DHC5B030433B20756,Sweets_Ambient,400 GM_Sweets_Ambient,D,Kaju Burfee 400 GM*8 KG,,369.0475,,344.9,465,465,PAC,Dry Fruit & Nuts Based,KAJU BURFI 400*8,20,2.5,FH043304000800000D,,1317,FALSE,FALSE,,1,B2,,,,0,,,5,,F23170400,21069099,,,400,,,344.9,Kaju Based,Kaju Katli,,,,,,,c4e46dec-ffa2-4665-9a90-e3dbdf5c226a,5AA4B52460297DAC98792DDBABD24289,TRUE,,,,NOIDA,Domestic,756
CAR,KG,1 KG,Aloo Bhujia Plain 1 Kg,ADA1A060921B10127,Namkeen_In-Home,1 KG_Namkeen_In-Home,A,Aloo Bhujia 1 KG*12 KG,,218.75,,218.75,245,245,PAC,Aloo Bhujia,Aloo Bhujia 1*12,12,1,FD092110001200000D,,3,FALSE,FALSE,,1,B1,,,,0,,,12,,F0076100051,21069099,,,1000,,218.75,218.75,Aloo Bhujia,Aloo Bhujia,,,,,,,d11fc48f-5ee2-4b92-9fca-a92784e2819c,877268A7E485FC378BA6C025FAB0FF35,TRUE,,,,NOIDA,Domestic,127
CAR,KG,GIFT PACK,Meetha Bhi Namkeen Bhi 600 Gm,DJF2L091131B83381,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,D,GP-Meetha Bhi Namkeen Bhi 600 GM*7.2 KG,,232.143,,219,299,299,PAC,Gift Pack,GP Meetha Bhi Namkeen Bhi 600G*12PAC=7.2,12,1.667,FJ113106000720000D,,1111,FALSE,FALSE,,1,B8,,,,0,,,12,,F54100600,21069099,,,600,,214.28,219,Gift Pack Combo,Meetha Bhi Namkeen Bhi,,,,,,,e2f5b252-3a7f-41f7-935c-fc787c70fcaf,3DFD1408C6C4F85FE2F7BDDFB2427DAB,TRUE,,,,NOIDA,Domestic,3381
CAR,KG,1 KG,Petha Kalam 1 Kg,DHJ2B100442B11253,Sweets_Ambient,1 KG_Sweets_Ambient,D,Kalam Petha 1 KG*12 KG,,187.97,,176.91,225,225,PAC,Petha,KALAM PETHA 1 KG*12,12,1,FH044210001200000D,,1346,FALSE,FALSE,,1,B1,,,,0,,,5,,F24821000,21069099,,,1000,,,176.91,Kalam Petha,Kalam Petha,,,,,,,0530a5ba-405d-48a0-a9f4-0d78c68bf2b1,BC5E39042CD55F321FD3AECEE15A13F1,TRUE,,,,NOIDA,Domestic,1253
CAR,KG,1 KG,Aloo Bhujia Plain 1 Kg,ADA1A060921B10127,Namkeen_In-Home,1 KG_Namkeen_In-Home,A,Aloo Bhujia 1.05KG*12.6KG,,202.228,,190.33,265,265,PAC,Aloo Bhujia,Aloo Bhujia (1000+50)=1050Gm*12.60,12,0.952,FD092110501260000D,,7,FALSE,FALSE,,1,B1,,,,0,,,12,,F0076100004,21069099,,,1050,0,0,0,Aloo Bhujia,Aloo Bhujia,,,,,,,befcf9d9-be1a-497f-8edb-baa62b6260ca,4FEE3CB31BDE70511F6D774EE3BCE639,TRUE,,,,NOIDA,Domestic,127
CAR,KG,400 GM,Petha Dry 400 Gm,DHJ2A670282B21250,Sweets_Ambient,400 GM_Sweets_Ambient,D,Dry Petha 400 GM*8 KG,,95.238,,89,120,120,PAC,Petha,Dry Petha 400 Gms*8,20,2.5,FH028204000800000D,,917,FALSE,FALSE,,1,B2,,,,0,,,5,,F16090400,21069099,,,400,,86.58,89,Dry Petha,Dry Petha,,,,,,,2535ed2c-6ccd-47a9-b028-0a7e028f23ca,C1C1196BBB250A1C713DA93DE656926E,TRUE,,,,NOIDA,Domestic,1250
CAR,KG,1 KG,Aloo Bhujia Plain 1 Kg,ADA1A060921B10127,Namkeen_In-Home,1 KG_Namkeen_In-Home,A,Aloo Bhujia 1 KG*16 KG NGP,,171.7033,,161.98,225,225,PAC,Aloo Bhujia,Aloo Bhujiya 1 kg ( 16 kg C/S),16,1,FD092110001600000D,,6,FALSE,FALSE,,1,B1,,,,0,,,12,,FDNMA1310001600,21069099,,,1000,,156.5,161.98,Aloo Bhujia,Aloo Bhujia,,,,,,,1765ee7e-b202-4bbe-9eda-b2a254171cea,8241B40969C17825A374BB7DE064CEF8,TRUE,,,,NAGPUR,Domestic,127
CAR,KG,GIFT PACK,Chatpati Baatein 820 Gm,DJF2L125380B83382,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,D,GP-Chatpati Baatein 820 GM*9.84 KG,,263.975,,249.03,340,340,PAC,Gift Pack,GP-CHATPATI BATEIN 820 GM*12,12,1.22,FJ538008200984000D,,1081,FALSE,FALSE,,1,B8,,,,0,,,12,,F77710820,21069099,,,820,,243.67,249.03,Gift Pack Namkeen,Chatpati Baatein,,,,,,,bc1a8bb3-2fb8-4577-8339-69592d797a90,CCC73ECE90B82293A6B32AB73E571C84,TRUE,,,,NOIDA,Domestic,3382
