Distributor Name,Display Category,Product Erp Id,ProductId,SKU Name,CompanyId,Pcs/Box,IsActive,Current Stock In Case,Current Stock In Pcs,CurrentStock_SuperUnit_,Total Current Stock in Pcs,PendingOrderQtyInCase,PendingOrderPcs,Pending Order Super Unit,Total Pending Order _Unit_,InTransitInboundQtyInCase,InTransitInboundQtyInPcs,In Transit Inbound Qty in Super Unit,InTransitInboundTotalPcs,Damaged Qty In Case,Damaged Qty In Pcs,Damaged Qty in Super Unit,Damaged Total Pcs,Expired Qty In Case,Expired Qty In Pcs,Expired Qty in Super Unit,ExpiredTotalPcs,Mfg Date,Exp Date,Days to Expire,Shelf Life %,Price/Pcs,MRP,Total Value,Total Volume,Alternate Category,Product Attribute Text 1,Product Attribute Text 2,Distributor Erp Id
S B Markplus Private Limited-1,kaju Mixture MRP 10,FD043500220660000D,314,Kaju Mixture MRP 10|22GM*6.6KG,111290,300,Yes,79,0,521.3374395,23700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/25,21/11/25,113,0.941666667,6.858277778,10,162541.71,3575.476976,Mixture-Premium,Kaju Mixture,Kaju Mixture,19000059
S B Markplus Private Limited-1,Boondi Plain MRP 10,FD018000380957600D,486,Boondi-Plain MRP 10|38GM*9.576KG,111290,252,Yes,94,0,900,23688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/25,21/11/25,113,0.941666667,6.858242857,10,162459.4104,6172.418571,Besan Namkeen,Boondi,Boondi Plain,19000059
S B Markplus Private Limited-1,Mexilla Nacho Cheese 100 Gm,FI058400900540000D,671,Mexilla Nacho Cheese 90 GM*5.4 KG,111290,60,Yes,10,0,54.00540054,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/25,21/11/25,113,0.941666667,20.4121,40,12247.26,1102.363636,Mexilla,Mexilla,Mexilla Nacho Cheese,19000059
S B Markplus Private Limited-1,Aloo Bhujia Plain MRP 30,FD092100900900001D,742,Aloo Bhujia(RLY) 90GM*9 KG,111290,100,Yes,136,0,1224.122412,13600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/25,21/11/25,113,0.941666667,15.09028571,30,229742.08,18472.35695,Aloo Bhujia,Aloo Bhujia,Aloo Bhujia,19000059
S B Markplus Private Limited-1,Nimbu Masala MRP 10,FD061800401008000D,890,Nimbu Masala MRP 10|40GM*10.08KG,111290,252,Yes,24,0,241.92,6048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/25,21/11/25,113,0.941666667,6.858190909,10,41478.9984,1659.133545,Sev Namkeen,Nimbu Masala,Nimbu Masala,19000059
S B Markplus Private Limited-1,Mexilla Nacho Cheese MRP 20,FI058400750450001D,1378,Mexilla Nacho Cheese MRP 20|75 GM*4.5 KG,111290,60,Yes,39,0,175.543886,2340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/25,21/11/25,113,0.941666667,12.2478383,20,28659.384,2150.03313,Mexilla,Mexilla,Mexilla Nacho Cheese,19000059
S B Markplus Private Limited-1,Chips Pudina Treat-85-Gm,FI097100850357000D,1411,Chips Pudina Treat 85GM*3.57KG,111290,42,Yes,35,0,124.8937978,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/25,21/11/25,113,0.941666667,20.41207895,40,30005.787,2549.342061,Potato Wafers,Chips,Chips Pudina Treat,19000059
S B Markplus Private Limited-1,Snaclite Finger MRP 5,FI369100200288001D,1442,Snac Lite Finger 20 GM * 2.88 KG,111290,144,Yes,19,0,54.72,2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/25,21/11/25,113,0.941666667,3.347683333,5,9159.0336,183.185232,Extruded,Snac Lite,Snac Lite Finger,19000059
S B Markplus Private Limited-1,Mexilla Nacho Cheese MRP 10,FI058400400480001D,1562,Mexilla Nacho Cheese 40 GM * 4.8 KG,111290,120,Yes,49,0,235.2,5880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/25,21/11/25,113,0.941666667,6.531914286,10,38407.572,1536.30624,Bridges,Mexilla,Mexilla Nacho Cheese,19000059
S B Markplus Private Limited-1,Chips Pudina Treat MRP 30,FI002200620372000D,3027,Chips Pudina Treat MRP 30|62 GM*3.72 KG,111290,60,Yes,185,0,688.1587105,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24/07/25,21/11/25,113,0.941666667,12.2472,30,135943.92,8428.017359,Potato Wafers,Chips,Chips Pudina Treat,19000059
