Sales Organization,Supplying Plant,Bill Type,Billing Type Description,Supplying Plant GSTIN,Customer Group,Customer Group Name,Sales District,ODN No. - Reference Field,Invoice Number,Sold-to Party,Sold to Party Name,Customer City,Supplying State,Bill to Party GSTIN,Bill to State Name,Material,Material Description,Actual billed Quantiy - CAR,Actual billed quantity in PAK,Actual billed quantity in KG,HSN/SAC,Tax Amount,IGST Rate,IGST Amt,CGST_RATE,CGST Amt,SGST_RATE,SGST Amount,UGST Rate,UGST Amt,Net Amount INR,Gross amount INR,YMRP %,Retailer Price,Dist Price,SS PKT PRICE,MTD PKT PRICE,INST PKT PRICE,_INST PKT,No of pcs in Laddi,Grams of FG,Batch Base Mrp,Distribution Channel,Division,Material Group Desc_,Vehicle Number,Transporter,Transporter Name,Vehicle Type,Sales Doc./Purchase Order,Ack No,Ship to Outlet Location,Batch,Exp.Date,Item _SD_,Material Net Weight,Date of Manufacture,Invoice Date,Actual billed quantity
1100,HM51,YDOM,Inv - Domestic Sales,09AAGCH6000C1Z3,Y1,Super Stockiest,NORTH,TI25090106009877,2515101098,19000102,S B Markplus Private Limited,Delhi,9,07AARCS1463K1ZV,Delhi,FD062900401000000D,Palak Sev MRP 10|40 GM*10 KG,35,8750,350,21069099,7201.24,12,7201.24,0,0,0,0,0,0,60010.32,67211.56,10,7.4999,7.0093,6.8584,7.0093,7.0093,10,40,875,10,DO,F0,Namkeen,DL01GE4255,19000059,S B Markplus Private Limited,TROLLA,20023060,1.42517E+14,161310,PAEE06,03/10/25,266,350,06/05/25,07/05/25,35
1100,HM51,YDOM,Inv - Domestic Sales,09AAGCH6000C1Z3,Y1,Super Stockiest,NORTH,TI25090106009877,2515101098,19000102,S B Markplus Private Limited,Delhi,9,07AARCS1463K1ZV,Delhi,FD062900401000000D,Palak Sev MRP 10|40 GM*10 KG,7,1750,70,21069099,1440.25,12,1440.25,0,0,0,0,0,0,12002.06,13442.31,10,7.4999,7.0093,6.8584,7.0093,7.0093,10,40,175,10,DO,F0,Namkeen,DL01GE4255,19000059,S B Markplus Private Limited,TROLLA,20023060,1.42517E+14,161310,PAEE04,01/10/25,264,70,04/05/25,07/05/25,7
1100,HM51,YDOM,Inv - Domestic Sales,09AAGCH6000C1Z3,Y1,Super Stockiest,NORTH,TI25090106009877,2515101098,19000102,S B Markplus Private Limited,Delhi,9,07AARCS1463K1ZV,Delhi,FD062900401000000D,Palak Sev MRP 10|40 GM*10 KG,10,2500,100,21069099,2057.5,12,2057.5,0,0,0,0,0,0,17145.81,19203.31,10,7.4999,7.0093,6.8584,7.0093,7.0093,10,40,250,10,DO,F0,Namkeen,DL01GE4255,19000059,S B Markplus Private Limited,TROLLA,20023060,1.42517E+14,161310,PAEE05,02/10/25,265,100,05/05/25,07/05/25,10
1100,HM51,YDOM,Inv - Domestic Sales,09AAGCH6000C1Z3,Y1,Super Stockiest,NORTH,TI25090106009846,2515101093,19000740,S B Markplus Private Limited,New Delhi,9,07AARCS1463K1ZV,Delhi,FD016600450810000D,Bhavnagri Gathiya MRP 10|45 GM*8.1 KG,100,18000,810,21069099,14813.98,12,14813.98,0,0,0,0,0,0,123449.8,138263.78,10,7.4999,7.0093,6.8584,7.0093,7.0093,12,45,1500,10,DO,F0,Namkeen,HR55Y5703,19000059,S B Markplus Private Limited,TROLLA,20025091,1.42517E+14,162617,PAEE06,08/09/25,233,810,06/05/25,07/05/25,100
1100,HM51,YDOM,Inv - Domestic Sales,09AAGCH6000C1Z3,Y1,Super Stockiest,NORTH,TI25090106009877,2515101098,19000102,S B Markplus Private Limited,Delhi,9,07AARCS1463K1ZV,Delhi,FD061800401008000D,Nimbu Masala MRP 10|40GM*10.08KG,17,4284,171.36,21069099,3525.73,12,3525.73,0,0,0,0,0,0,29381.06,32906.79,10,7.4999,7.0093,6.8584,7.0093,7.0093,12,40,357,10,DO,F0,Namkeen,DL01GE4255,19000059,S B Markplus Private Limited,TROLLA,20025082,1.42517E+14,161310,PAEE06,03/09/25,275,171.36,06/05/25,07/05/25,17
1100,HM51,YDOM,Inv - Domestic Sales,09AAGCH6000C1Z3,Y1,Super Stockiest,NORTH,TI25090106009877,2515101098,19000102,S B Markplus Private Limited,Delhi,9,07AARCS1463K1ZV,Delhi,FD061800401008000D,Nimbu Masala MRP 10|40GM*10.08KG,50,12600,504,21069099,10369.78,12,10369.78,0,0,0,0,0,0,86414.86,96784.64,10,7.4999,7.0093,6.8584,7.0093,7.0093,12,40,1050,10,DO,F0,Namkeen,DL01GE4255,19000059,S B Markplus Private Limited,TROLLA,20024687,1.42517E+14,161310,PAEE06,03/09/25,269,504,06/05/25,07/05/25,50
1100,HM51,YDOM,Inv - Domestic Sales,09AAGCH6000C1Z3,Y1,Super Stockiest,NORTH,TI25090106009877,2515101098,19000102,S B Markplus Private Limited,Delhi,9,07AARCS1463K1ZV,Delhi,FD061800401008000D,Nimbu Masala MRP 10|40GM*10.08KG,4,1008,40.32,21069099,829.58,12,829.58,0,0,0,0,0,0,6913.19,7742.77,10,7.4999,7.0093,6.8584,7.0093,7.0093,12,40,84,10,DO,F0,Namkeen,DL01GE4255,19000059,S B Markplus Private Limited,TROLLA,20021625,1.42517E+14,161310,PAEE06,03/09/25,260,40.32,06/05/25,07/05/25,4
1100,HM51,YDOM,Inv - Domestic Sales,09AAGCH6000C1Z3,Y1,Super Stockiest,NORTH,TI25090106009846,2515101093,19000740,S B Markplus Private Limited,New Delhi,9,07AARCS1463K1ZV,Delhi,FD016600450810000D,Bhavnagri Gathiya MRP 10|45 GM*8.1 KG,33,5940,267.3,21069099,4888.61,12,4888.61,0,0,0,0,0,0,40738.43,45627.04,10,7.4999,7.0093,6.8584,7.0093,7.0093,12,45,495,10,DO,F0,Namkeen,HR55Y5703,19000059,S B Markplus Private Limited,TROLLA,20024570,1.42517E+14,162617,PAEE05,07/09/25,225,267.3,05/05/25,07/05/25,33
1100,HM51,YDOM,Inv - Domestic Sales,09AAGCH6000C1Z3,Y1,Super Stockiest,NORTH,TI25090106009846,2515101093,19000740,S B Markplus Private Limited,New Delhi,9,07AARCS1463K1ZV,Delhi,FD016600450810000D,Bhavnagri Gathiya MRP 10|45 GM*8.1 KG,26,4680,210.6,21069099,3851.63,12,3851.63,0,0,0,0,0,0,32096.94,35948.57,10,7.4999,7.0093,6.8584,7.0093,7.0093,12,45,390,10,DO,F0,Namkeen,HR55Y5703,19000059,S B Markplus Private Limited,TROLLA,20024570,1.42517E+14,162617,PAEE04,06/09/25,224,210.6,04/05/25,07/05/25,26
1100,HM51,YDOM,Inv - Domestic Sales,09AAGCH6000C1Z3,Y1,Super Stockiest,NORTH,TI25090106009846,2515101093,19000740,S B Markplus Private Limited,New Delhi,9,07AARCS1463K1ZV,Delhi,FD016600450810000D,Bhavnagri Gathiya MRP 10|45 GM*8.1 KG,2,360,16.2,21069099,296.28,12,296.28,0,0,0,0,0,0,2469,2765.28,10,7.4999,7.0093,6.8584,7.0093,7.0093,12,45,30,10,DO,F0,Namkeen,HR55Y5703,19000059,S B Markplus Private Limited,TROLLA,20024570,1.42517E+14,162617,PAEE02,04/09/25,223,16.2,02/05/25,07/05/25,2
