id,order_id,product_id,product_name,quantity,price,total,created_at
22,21,1,Otrivin Moisturizing Adult,10,118.79,1187.90,2025-06-10 05:45:56
23,21,2,Iodex Balm 16g,6,0.00,0.00,2025-06-10 05:45:56
24,21,3,Eno Nimbu Masala 5gm,2,0.00,0.00,2025-06-10 05:45:56
25,21,4,ENO POWDER LEMON 1X5G SACHET,2,10.00,20.00,2025-06-10 05:45:56
26,21,5,Iodex Balm 40g,1,170.00,170.00,2025-06-10 05:45:56
27,21,6,Crocin Drops Paed Pepermint 15ml,1,30.07,30.07,2025-06-10 05:45:56
28,21,7,Crocin 240 DS Paed Mixed fruit,1,105.23,105.23,2025-06-10 05:45:56
29,21,8,Centrum Women Tab 30,1,495.00,495.00,2025-06-10 05:45:56
30,22,1,Otrivin Moisturizing Adult,10,118.79,1187.90,2025-06-10 06:12:16
31,22,2,Iodex Balm 16g,6,0.00,0.00,2025-06-10 06:12:16
32,22,3,Eno Nimbu Masala 5gm,2,0.00,0.00,2025-06-10 06:12:16
33,22,4,ENO POWDER LEMON 1X5G SACHET,2,10.00,20.00,2025-06-10 06:12:16
34,22,5,Iodex Balm 40g,1,170.00,170.00,2025-06-10 06:12:16
35,22,6,Crocin Drops Paed Pepermint 15ml,1,30.07,30.07,2025-06-10 06:12:16
36,22,7,Crocin 240 DS Paed Mixed fruit,1,105.23,105.23,2025-06-10 06:12:16
37,22,8,Centrum Women Tab 30,1,495.00,495.00,2025-06-10 06:12:16
38,23,2,Eno Nimbu Masala 5gm,1,9.00,9.00,2025-06-10 06:55:42
39,23,1,Iodex Balm 16g,1,88.00,88.00,2025-06-10 06:55:42
40,24,28,CENTRUM RECHARGE PWDR ORANGE 6X5G SACHET,3,60.00,180.00,2025-06-25 10:41:11
41,25,29,Centrum Adult Tab 50,3,740.00,2220.00,2025-06-25 12:21:55
42,25,30,Centrum Women Tab 50,3,740.00,2220.00,2025-06-25 12:21:55
43,26,31,Centrum Men Tab 30,1,475.00,475.00,2025-06-25 12:25:03
44,27,32,Centrum Adult Tab 50,1,740.00,740.00,2025-06-25 12:25:50
"45, 28, '33', 'IODEX ACTIVE MUSCLE CARE 1X8G_JAR_(11 1"
46,29,34,Centrum Adult Tab 50,10,740.00,7400.00,2025-06-25 12:39:14
47,30,38,CROCIN LIQUID MAX SUSPENSION 1X60ML_BOT,2,80.00,160.00,2025-06-26 08:48:12
48,30,36,Centrum Adult Tab 50,2,740.00,1480.00,2025-06-26 08:48:12
49,30,37,Centrum Women Tab 50,2,740.00,1480.00,2025-06-26 08:48:12
