id,order_id,distributor_id,total_amount,order_date,status,user_id,created_at
21,AUD-1749534353726,112049,2008.20,2025-06-10 07:45:56,completed,8864924023,2025-06-10 05:45:56
22,AUD-1749535932787,112049,2008.20,2025-06-10 08:12:16,completed,8864924023,2025-06-10 06:12:16
23,AUD-1749538538338,112049,97.00,2025-06-10 08:55:42,completed,8864924023,2025-06-10 06:55:42
24,AUD-1750847880821,754232,180.00,2025-06-25 12:41:11,completed,6072,2025-06-25 10:41:11
25,AUD-1750854112156,736470,4440.00,2025-06-25 14:21:55,completed,6072,2025-06-25 12:21:55
26,AUD-1750854301240,794342,475.00,2025-06-25 14:25:03,completed,6072,2025-06-25 12:25:03
27,AUD-1750854348971,754232,740.00,2025-06-25 14:25:50,completed,6072,2025-06-25 12:25:50
28,AUD-1750854721268,736470,1155.00,2025-06-25 14:32:04,completed,6072,2025-06-25 12:32:04
29,AUD-1750855151527,782136,7400.00,2025-06-25 14:39:14,completed,6072,2025-06-25 12:39:14
30,AUD-1750927691454,781183,3120.00,2025-06-26 10:48:12,completed,7876,2025-06-26 08:48:12
