ID,Batch_Name,Sku_Id,Sku_Name,Mrp,Manufacture_Date,Manufacture_Time,Expiry_Date,Status
1,MCAB22001,3,Centrum Adult Tab 30,495.00,2022-08-01,00:00:00,2024-01-31,Active
2,MCAA22001,6,Centrum Adult Tab 50,740.00,2022-08-01,00:00:00,2024-01-31,Active
3,SK23001,7,Centrum Kids Gummies 30,495.00,2022-08-01,00:00:00,2024-01-31,Active
4,SK23001,7,Centrum Kids Gummies 30,495.00,2022-08-01,00:00:00,2024-01-31,Active
5,SK2201,8,Centrum Kids Gummies 50,740.00,2022-08-01,00:00:00,2024-01-31,Active
6,MCMB22001-test,1,Centrum Men Tab 30,475.00,2022-09-30,00:00:00,2024-01-31,Active
7,MCMA22001,4,Centrum Men Tab 50,710.00,2022-08-01,00:00:00,2024-01-31,Active
8,MCMA22002,4,Centrum Men Tab 50,710.00,2022-08-01,00:00:00,2024-01-31,Active
9,MCWB22001,2,Centrum Women Tab 30,495.00,2022-08-01,00:00:00,2024-01-31,Active
10,MCWA22001,5,Centrum Women Tab 50,740.00,2022-08-01,00:00:00,2024-01-31,Active
11,MCWA22002,5,Centrum Women Tab 50,740.00,2022-08-01,00:00:00,2024-01-31,Active
12,MCMB22001,1,Centrum Men Tab 30,475.00,2022-09-28,00:00:00,2022-10-31,Inactive
13,MCMB22001,1,Centrum Men Tab 30,475.00,2022-09-28,00:00:00,2022-10-31,Inactive
14,MCMB22001,1,Centrum Men Tab 30,475.00,2022-09-28,00:00:00,2023-10-31,Active
15,MCWB22001,2,Centrum Women Tab 30,495.00,2022-09-28,00:00:00,2023-10-31,Active
16,MCMB22001,1,Centrum Men Tab 30,475.00,2022-09-28,00:00:00,2023-10-31,Active
17,MCWB22001,2,Centrum Women Tab 30,495.00,2022-09-28,00:00:00,2023-10-31,Active
18,22E0843733,15,Senso Sensitivity & Gum Brush-1,100.00,2022-03-01,00:00:00,2025-02-28,Active
19,BGR220181,19,Senso Rapid Relief Paste 80g,170.00,2022-07-01,00:00:00,2024-06-30,Active
20,BGS220013,11,Senso Sensitivity & Gum Paste 70g,185.00,2022-07-01,00:00:00,2024-06-30,Active
21,BF220008,13,Parodontax Daily Fluoride Paste 75g,115.00,2022-04-01,00:00:00,2024-08-10,Active
22,BU220003,12,Parodontax  Ultraclean Paste 75g,115.00,2022-04-01,00:00:00,2024-08-10,Active
23,BGS220020,11,Senso Sensitivity & Gum Paste 70g,185.00,2022-09-01,00:00:00,2024-08-31,Active
24,BGF220019,13,Parodontax Daily Fluoride Paste 75g,115.00,2022-09-01,00:00:00,2024-08-31,Active
