insertid,SKU_ID,HSN_Code,TaxPercentage,Segment_Code,Segment_Name_Category,sub_category_id,sub_category_name,Brand_Code,Brand_Name,Brand_Erp_Id,Sub_Brand_Code,Sub_Brand_Name,Parent_Code,Parent_Name,Variant,Variant_Id,SKU_Code,SKU_Name,SKU_Short_Description,MRP,Default_UOM,UOM,Active,Price_to_retailer,Created_Date,Created_By,Category_Id,Category_Erp_Id,unit_of_size,erp_group_id,focus_sku,picture_url,Attribute_1,Attribute_2,Attribute_3
1,103,30049011,12.00,1,OTC,9,Digestive,0,Eno,,,,,,Eno Cooling,0,YGENC00,ENO POWDER COOL MINT 6X5G MULTIPACK,ENO POWDER COOL MINT 6X5G MULTIPACK,54.00,,144,1,45.00,0000-00-00,,1,0,0,0,0,https://s3-ap-southeast-1.amazonaws.com/bizompictures/skuid103Untitled174851270432981748512704.png,,,
2,231,33061020,18.00,2,OHC,7,OHC,0,Sensodyne Core Paste,,,,,,Sensodyne Complete,0,YGSXFA1,SENSODYNE COMPLETE PROTECT+ 1X70G TBFREE,0,205.00,,72,1,178.26,0000-00-00,,2,70 GMS,GMS,0,0,https://s3-ap-southeast-1.amazonaws.com/bizompictures/skuid231SENSODYNECOMPLETEPROTECT1X70GTBFREE174851301313021748513013.png,,,
3,233,33061020,18.00,2,OHC,7,OHC,0,Parodontax,,,,,,Parodontax,0,YGXFBA1,PARODONTAX TP FLUORIDE 1X75G+TB COMBI,PARODONTAX TP FLUORIDE 1X75G+TB COMBI,165.00,,72,1,143.48,0000-00-00,,2,0,0,0,0,https://s3-ap-southeast-1.amazonaws.com/bizompictures/skuid233PARODONTAXTPFLUORIDE1X75GTBCOMBI174851380156401748513801.png,,,
4,234,33061020,18.00,2,OHC,7,OHC,0,Parodontax,,,,,,Parodontax,0,YGXUBA1,PARODONTAX TP ULTRACLEAN 1X75G+TBCOMBI,PARODONTAX TP ULTRACLEAN 1X75G+TBCOMBI,165.00,,72,1,143.48,0000-00-00,,2,0,0,0,0,https://s3-ap-southeast-1.amazonaws.com/bizompictures/234skuidUntitled174851489434501748514894.png,,,
5,235,30049011,12.00,1,OTC,8,Pain,0,Iodex,,,,,,0,0,YGYAC00,IODEX ACTIVE MUSCLE CARE CREAM 1X16G,IODEX ACTIVE MUSCLE CARE CREAM 1X16G,50.00,,240,1,41.67,0000-00-00,,1,0,0,0,0,https://s3-ap-southeast-1.amazonaws.com/bizompictures/IodexMuscleCare8gmand16gm173589292153701735892921.png,,,
"6, '250', '30049011', 12.00, '1', 'OTC', '8', 'Pain', '0', 'Iodex', NULL, NULL, NULL, NULL, NULL, '0', '0', 'YGYAE00', 'IODEX ACTIVE MUSCLE CARE 1X8G_JAR_(11+1"
11+1
7,251,33069000,18.00,2,OHC,7,OHC,0,Parodontax,,,,,,Parodontax,0,YGXMA00,PARODONTAX MOUTHWASH 1X100ML,PARODONTAX MOUTHWASH 1X100ML,120.00,,36,1,104.35,0000-00-00,,2,0,0,0,0,https://s3-ap-southeast-1.amazonaws.com/bizompictures/ParodontaxMouthwash100ml174651054931431746510549.png,,,
8,252,30049069,12.00,1,OTC,8,Pain,0,Crocin,,,,,,0,0,YGCRA00,CROCIN LIQUID MAX SUSPENSION 1X60ML_BOT,CROCIN LIQUID MAX SUSPENSION 1X60ML_BOT,80.00,,144,1,66.67,0000-00-00,,1,0,0,0,0,https://s3-ap-southeast-1.amazonaws.com/bizompictures/skuid252Crocin_Liquid_Bottle_01174788722155851747887221.png,,,
"9, '253', '30049011', 12.00, '1', 'OTC', '8', 'Pain', '0', 'Iodex', NULL, NULL, NULL, NULL, NULL, '0', '0', 'YGYAF00', 'IODEX ACTIVE MUSCLE CARE 1X16G_JAR_(7+1"
7+1
