insertid,Region_Code,REGION,RSM_Code,RSM_Area,SO,Distributor_Code,Distributor_Name,distributor_channel_type,distributor_type,distributor_city,distributor_state,UID,RetailerCode,RetailerName,SalesMan_Code,SalesMan_Name,Sales_Rep_Phone,saleman_role,Type,outlet_type,Sub_Type,Price_Group,Retailer_Group,Route_Code,Route_Name,warehouse_id,Category_Code,Category_Name,Sub_Channel_Code,Sub_Channel_Name,Channel_Code,Channel_Name,Class_Name,ACCOUNT_CODE,ACCOUNT_NAME,PAN_No,GST_No,Address_1,Address_2,Address_3,Address_4,outlet_pin_code,Town,City,State,latitude,longitude,Contact_Name,Mobile,Email,owner_name,owner_mobile,Aadhar,Credit_Limit,Credit_Period,cash_credit,source,Location_Code,Location_Name,Return_Qty,Return_Value,FSSAI_No,FSSAI_Exp_Date,Retailer_Created_On,outlet_createdby_id,outlet_createdbyname,Modified_Date,Retailer_Reference_Code,IsActive,last_order_date,last_invoice_date,otp_verified
1,1,North,14,CHANDIGARH,1100726805_ASI4,30,KANWAL AGENCIES,,,,,,2632,Medplus Pharmacy,,,,,,GT Pharmacy,0,,,,,,1,OUTLET,,,,,,,,,NA,shop no 49 2 sector 52 Chandigarh,,,,160036,Bapatla,CHANDIGARH,CHANDIGARH,30.714108,76.739470,,7869367219,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
2,1,North,14,CHANDIGARH,1100726805_ASI4,30,KANWAL AGENCIES,,,,,,2635,lifecare Medicos,,,,,,GT Pharmacy,0,,,,,,1,OUTLET,,,,,,,,,NA,shop no 90 sector 52 Chandigarh,,,,160036,Village Darua,CHANDIGARH,CHANDIGARH,30.716109,76.738090,,7869367219,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
3,4,West,10,Gujarat,BOTTLE SALES INDIA,197,BOTTLE SALES INDIA,,,,,,2690,Atoz medical,,,,,,GT Pharmacy,0,,,,,,85,MD - OTC,,,,,,,,,NA,shop no 4 laxmivilaa green nr shalby hospital haridarshn cross road,,,,382330,Ahmedabad,AHMADABAD,GUJARAT,23.074291,72.674676,,8128965361,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
4,4,West,10,Gujarat,BOTTLE SALES INDIA,197,BOTTLE SALES INDIA,,,,,,2695,R J Pharmacy,,,,,,GT Pharmacy,0,,,,,,85,MD - OTC,,,,,,,,,NA,shop no 16 17 G F solitair Arcade G E B Haridarshan Road Nava Naroda Ahmedabad,,,,382330,Ahmedabad,AHMADABAD,GUJARAT,23.077165,72.672785,,9537716135,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
5,4,West,8,Maharashtra,T G & Company,31,TG and company,,,,,,2741,vira general Stores,,,,,,Grocery – General,0,,,,,,1,OUTLET,,,,,,,,,27AFQPV2175J1ZP,Shop no 3 laxman zula bldg Ranade road Shivaji park Dadar W,,,,400016,Mumbai,MUMBAI SUBURBAN,MAHARASHTRA,19.022376,72.838863,,8286143144,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
6,4,West,8,Maharashtra,T G & Company,31,TG and company,,,,,,2797,Shushrusha Medical,,,,,,GT Pharmacy,0,,,,,,86,MD - OHC,,,,,,,,,27AHOPK8187H1ZN,Shop no 5 Hendre Castle Gokhale Road north Dadar W Thursday area Inarjeet,,,,400028,Mumbai,Navi Mumbai,MAHARASHTRA,19.021584,72.837535,,7208382980,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
7,4,West,8,Maharashtra,Shree Sai Arihant Distributor,32,SHREE SAI ARIHANT DISTRIBUTOR,,,,,,2804,Gitanjali Medical and General Store,,,,,,GT Pharmacy,0,,,,,,85,MD - OTC,,,,,,,,,NA,6 Sandip Sarovar Mhada Andheri West Mumbai,,,,400053,Mumbai,Navi Mumbai,MAHARASHTRA,19.113775,72.870456,,9022570093,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
8,4,West,8,Maharashtra,T G & Company,31,TG and company,,,,,,2811,mahavir medical and general store,,,,,,GT Pharmacy,0,,,,,,86,MD - OHC,,,,,,,,,27AALFM7876P1Z4,Shop no 1 horizon opp sushrusha hospital Ranade Road shivaji park dadar w,,,,400028,Mumbai,Navi Mumbai,MAHARASHTRA,19.023216,72.838418,,8689811854,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
9,4,West,10,Gujarat,TANVI ENTERPRISE,11040,TANVI ENTERPRISE,,,,,,2848,P P Savani Rahtdar Medical Store,,,,,,GT Pharmacy,0,,,,,,86,MD - OHC,,,,,,,,,NA,G 38 Platinum Point Opp CNG Pump Nr Sudama Chowk Mota Varachha Surat,,,,394101,Surat,SURAT,GUJARAT,21.236451,72.874778,,9099609119,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
10,4,West,8,Maharashtra,T G & Company,31,TG and company,,,,,,2858,Shree Swami Samartha Medical and Surgical,,,,,,Chemist ISS,0,,,,,,102,MD 1,,,,,,,,,27ADPFS3980F1ZK,5b Saraswati Mahal no 1 Ranade Road Gokhale Road junction Dadar W Thursday area Inarjeet,,,,400028,Mumbai,Navi Mumbai,MAHARASHTRA,19.022752,72.838635,,9082953183,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
11,4,West,8,Maharashtra,M B Shah and Co,34,M B SHAH & CO,,,,,,2923,IDEAL MEDICAL,,,,,,GT Pharmacy,0,,,,,,102,MD 1,,,,,,,,,27BJUPS3738M2Z4,FN M C 44 2 EUROPEAN CEMETRY S M ROAD MADONA COLONY WADALA WEST,,,,400037,Mumbai,Navi Mumbai,MAHARASHTRA,19.022281,72.863739,,8828055928,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
12,4,West,8,Maharashtra,M B Shah and Co,34,M B SHAH & CO,,,,,,2926,Atul Medical General Stores,,,,,,GT Pharmacy,0,,,,,,85,MD - OTC,,,,,,,,,27BBEPJ1591F1ZR,shop no 4 Dosti Venus MTV road wadala east,,,,400037,Mumbai,Navi Mumbai,MAHARASHTRA,19.022283,72.863256,,8291161403,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
13,4,West,10,Gujarat,BOTTLE SALES INDIA,197,BOTTLE SALES INDIA,,,,,,2982,Shivdhara Medical,,,,,,GT Pharmacy,0,,,,,,102,MD 1,,,,,,,,,NA,Giriraj Complex Opposite Pancham Mall Nikol Ahmedabad,,,,382350,Ahmedabad,AHMADABAD,GUJARAT,23.040968,72.658685,,9924237606,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
14,1,North,13,Uttar Pradesh,1100736208_ASI2,10625,PRIYANSHI TRADING,,,,,,3336,shree Jagdish medical,,,,,,GT Pharmacy,0,,,,,,85,MD - OTC,,,,,,,,,09AABFJ1190R1ZW,sec44 near Bharat medical,,,,201301,Noida,Noida,UTTAR PRADESH,28.559045,77.343628,,9818233276,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
15,4,West,8,Maharashtra,G T Enterprises,10435,G T ENTERPRISES,,,,,,3359,Omkar medical,,,,,,GT Pharmacy,0,,,,,,85,MD - OTC,,,,,,,,,NA,shop no 3 Shanti Nagar kondhwa BK Pune,,,,411048,Pune,PUNE,MAHARASHTRA,18.460140,73.880958,,9552449554,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
16,4,West,10,Gujarat,PRAGATI TRADERS,4400,PRAGATI TRADERS,,,,,,3405,little flower medical store,,,,,,NH/DD Pharmacy,0,,,,,,85,MD - OTC,,,,,,,,,NA,A 1 2 1st Floor Swagat Complex Opp D R world Aai Mata Road Parvat Patiya,,,,395010,Surat,SURAT,GUJARAT,21.199650,72.832420,,8200733224,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
17,4,West,16,Madhya Pradesh,OM TRADERS,219,M/S OM TRADERS,,,,,,3590,LAXMI MEDICAL STOR,,,,,,NH/DD Pharmacy,0,,,,,,102,MD 1,,,,,,,,,NA,bittan market bibek kirana stor ke pas,,,,462039,Bhopal,BHOPAL,MADHYA PRADESH,23.216754,77.428781,,8889877796,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
18,4,West,8,Maharashtra,OXY PHARMA,16656,OXY PHARMA,,,,,,4707,shree ganesh medical and general,,,,,,NH/DD Pharmacy,0,,,,,,85,MD - OTC,,,,,,,,,NA,5 athawale chember opp to gavkari press r k,,,,422001,Nashik,NASHIK,MAHARASHTRA,20.008738,73.711513,,9850085053,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
